 train       observed       predicted
 y     1.016589E+01     1.043003E+01
 y     9.998843E+00     1.023883E+01
 y     1.079960E+01     1.088208E+01
 y     1.316351E+01     1.343468E+01
 y     1.321494E+01     1.271535E+01
 y     1.345884E+01     1.323841E+01
 y     1.215426E+01     1.241511E+01
 y     1.308154E+01     1.275315E+01
 y     1.156173E+01     1.164226E+01
 y     1.280078E+01     1.221826E+01
 y     1.111990E+01     1.158313E+01
 y     1.281855E+01     1.276013E+01
 y     1.317116E+01     1.267512E+01
 y     1.210072E+01     1.198381E+01
 y     1.220608E+01     1.215769E+01
 y     1.236735E+01     1.301228E+01
 y     1.276541E+01     1.257101E+01
 y     1.362918E+01     1.383405E+01
 y     1.195222E+01     1.154698E+01
 y     1.305623E+01     1.124931E+01
 y     1.103491E+01     1.108971E+01
 y     1.300583E+01     1.269110E+01
 y     1.016589E+01     1.029556E+01
 y     1.198294E+01     1.171758E+01
 y     1.067137E+01     1.142859E+01
 y     1.236735E+01     1.161114E+01
 y     1.270382E+01     1.280444E+01
 y     1.213082E+01     1.229791E+01
 y     1.202576E+01     1.234540E+01
 y     1.340754E+01     1.309123E+01
 y     1.264433E+01     1.250419E+01
 y     1.220107E+01     1.209169E+01
 y     1.226435E+01     1.237079E+01
 y     1.303898E+01     1.286246E+01
 y     1.240902E+01     1.211051E+01
 y     1.244312E+01     1.253195E+01
 y     1.100212E+01     1.157109E+01
 y     1.242922E+01     1.214079E+01
 y     1.156173E+01     1.135778E+01
 y     1.230139E+01     1.229989E+01
 y     1.091511E+01     1.168685E+01
 y     1.279386E+01     1.271838E+01
 y     1.144573E+01     1.131992E+01
 y     1.356448E+01     1.327847E+01
 y     1.325777E+01     1.285167E+01
 y     1.283468E+01     1.254246E+01
 y     1.175588E+01     1.125594E+01
 y     1.234584E+01     1.249111E+01
 y     9.433564E+00     1.040854E+01
 y     1.204942E+01     1.172255E+01
 y     1.236735E+01     1.239549E+01
 y     1.333748E+01     1.340092E+01
 y     1.273670E+01     1.264268E+01
 y     1.246844E+01     1.227352E+01
 y     1.205540E+01     1.220530E+01
 y     1.191840E+01     1.214651E+01
 y     1.081479E+01     1.085944E+01
 y     1.316159E+01     1.311593E+01
 y     1.269466E+01     1.238873E+01
 y     1.238840E+01     1.196151E+01
 y     1.014647E+01     1.084173E+01
 y     1.172299E+01     1.188389E+01
 y     1.225487E+01     1.251723E+01
 y     1.244902E+01     1.242455E+01
 y     1.251356E+01     1.236305E+01
 y     1.182482E+01     1.197189E+01
 y     1.218076E+01     1.251220E+01
 y     1.190497E+01     1.210114E+01
 y     1.223077E+01     1.181170E+01
 y     1.298310E+01     1.281688E+01
 y     1.210072E+01     1.221963E+01
 y     1.108216E+01     1.116516E+01
 y     1.288917E+01     1.224563E+01
 y     9.711176E+00     1.062249E+01
 y     1.344590E+01     1.270362E+01
 y     1.201706E+01     1.220432E+01
 y     1.115626E+01     1.139253E+01
 y     1.259473E+01     1.264960E+01
 y     1.149273E+01     1.071365E+01
 y     1.081980E+01     1.128803E+01
 y     1.230139E+01     1.228253E+01
 y     1.225487E+01     1.255009E+01
 y     1.289421E+01     1.275122E+01
 y     1.198294E+01     1.214885E+01
 y     1.175195E+01     1.154205E+01
 y     1.156173E+01     1.205098E+01
 y     1.218076E+01     1.229737E+01
 y     1.191840E+01     1.177952E+01
 y     1.016589E+01     1.141370E+01
 y     1.234584E+01     1.148881E+01
 y     1.158059E+01     1.143366E+01
 y     1.248749E+01     1.233036E+01
 y     1.193493E+01     1.189352E+01
 y     1.282665E+01     1.241124E+01
 y     1.143497E+01     1.130722E+01
 y     1.201431E+01     1.176027E+01
 y     1.243719E+01     1.252719E+01
 y     9.433564E+00     1.072417E+01
 y     1.046027E+01     1.094213E+01
 y     1.083960E+01     1.094431E+01
 y     1.160824E+01     1.116943E+01
 y     1.240902E+01     1.247168E+01
 y     1.277706E+01     1.239084E+01
 y     1.218076E+01     1.212258E+01
 y     1.179811E+01     1.188380E+01
 y     1.190497E+01     1.186455E+01
 y     1.234584E+01     1.226733E+01
 y     1.256724E+01     1.275286E+01
 y     1.140758E+01     1.159640E+01
 y     1.277988E+01     1.222840E+01
 y     1.503191E+01     1.471148E+01
 y     1.275708E+01     1.249644E+01
 y     1.264433E+01     1.234521E+01
 y     1.286100E+01     1.292225E+01
 y     1.172157E+01     1.206895E+01
 y     1.220608E+01     1.216580E+01
 y     1.227840E+01     1.220263E+01
 y     1.262807E+01     1.233948E+01
 y     1.211122E+01     1.198106E+01
 y     1.195119E+01     1.153588E+01
 y     1.186710E+01     1.175943E+01
 y     1.230139E+01     1.192209E+01
 y     1.114188E+01     1.096045E+01
 y     1.200151E+01     1.187690E+01
 y     1.336923E+01     1.316787E+01
 y     1.249088E+01     1.200220E+01
 y     1.263948E+01     1.254632E+01
 y     1.184940E+01     1.203611E+01
 y     1.238840E+01     1.212077E+01
 y     1.304979E+01     1.260625E+01
 y     1.249501E+01     1.188294E+01
 y     1.177530E+01     1.208224E+01
 y     1.232386E+01     1.218798E+01
 y     1.142955E+01     1.163995E+01
 y     1.324635E+01     1.299885E+01
 y     1.234148E+01     1.233867E+01
 y     1.397593E+01     1.348654E+01
 y     1.163405E+01     1.200771E+01
 y     1.227840E+01     1.233581E+01
 y     1.165270E+01     1.158730E+01
 y     1.202276E+01     1.200814E+01
 y     1.256025E+01     1.265659E+01
 y     1.244902E+01     1.220635E+01
 y     1.077898E+01     1.145823E+01
 y     1.248749E+01     1.198964E+01
 y     1.160824E+01     1.169228E+01
 y     1.283468E+01     1.259722E+01
 y     1.282126E+01     1.259448E+01
 y     1.224530E+01     1.192884E+01
 y     1.004329E+01     1.072346E+01
 y     1.191171E+01     1.155173E+01
 y     1.208391E+01     1.203916E+01
 y     1.106509E+01     1.149119E+01
 y     1.191840E+01     1.118532E+01
 y     1.314217E+01     1.311410E+01
 y     1.275708E+01     1.269378E+01
 y     1.238798E+01     1.235060E+01
 y     1.331299E+01     1.289141E+01
 y     1.100378E+01     1.108292E+01
 y     1.027115E+01     1.130787E+01
 y     1.349047E+01     1.357962E+01
 y     1.022198E+01     1.102366E+01
 y     1.198294E+01     1.169904E+01
 y     1.012266E+01     1.075510E+01
 y     1.227979E+01     1.291352E+01
 y     1.270077E+01     1.263593E+01
 y     1.177530E+01     1.187237E+01
 y     1.227840E+01     1.214083E+01
 y     1.205234E+01     1.205759E+01
 y     1.266046E+01     1.247442E+01
 y     1.266046E+01     1.247442E+01
 y     1.124715E+01     1.135887E+01
 y     1.221603E+01     1.186297E+01
 y     1.309191E+01     1.306005E+01
 y     1.112728E+01     1.163628E+01
 y     1.240902E+01     1.227472E+01
 y     1.250618E+01     1.253622E+01
 y     1.236265E+01     1.184697E+01
 y     1.319933E+01     1.314080E+01
 y     1.071444E+01     1.110811E+01
 y     1.297154E+01     1.250206E+01
 y     1.064068E+01     1.099457E+01
 y     1.292147E+01     1.281690E+01
 y     1.280078E+01     1.287002E+01
 y     1.275420E+01     1.228132E+01
 y     1.163072E+01     1.178906E+01
 y     1.197667E+01     1.205345E+01
 y     1.299794E+01     1.261555E+01
 y     1.230139E+01     1.204519E+01
 y     1.363758E+01     1.318269E+01
 y     1.165270E+01     1.103664E+01
 y     1.227840E+01     1.226918E+01
 y     1.295749E+01     1.286871E+01
 y     1.115626E+01     1.130029E+01
 y     1.273670E+01     1.230346E+01
 y     1.271536E+01     1.321036E+01
 y     1.202683E+01     1.275723E+01
 y     1.030899E+01     1.053780E+01
 y     1.254219E+01     1.260811E+01
 y     1.201371E+01     1.177374E+01
 y     1.165270E+01     1.158438E+01
 y     1.187061E+01     1.188553E+01
 y     1.218076E+01     1.172327E+01
 y     1.181304E+01     1.191366E+01
 y     1.119823E+01     1.141322E+01
 y     1.106665E+01     1.142889E+01
 y     1.166135E+01     1.194662E+01
 y     1.229683E+01     1.229368E+01
