 train         node      observed        predicted
     y          303    0.947278E+001    0.109630E+002
     y          147    0.134870E+002    0.133550E+002
     y          296    0.105454E+002    0.105727E+002
     y          298    0.127069E+002    0.127314E+002
     y          302    0.128992E+002    0.124812E+002
     y          299    0.119184E+002    0.118736E+002
     y          303    0.119250E+002    0.120501E+002
     y          298    0.132879E+002    0.128308E+002
     y          150    0.115665E+002    0.119799E+002
     y          150    0.122549E+002    0.119799E+002
     y          511    0.131204E+002    0.122837E+002
     y          302    0.134000E+002    0.130749E+002
     y          299    0.130919E+002    0.134059E+002
     y          299    0.121007E+002    0.120424E+002
     y          150    0.113504E+002    0.111253E+002
     y          303    0.129715E+002    0.128303E+002
     y          298    0.125245E+002    0.124476E+002
     y          511    0.118810E+002    0.123841E+002
     y          302    0.104913E+002    0.117443E+002
     y          303    0.127364E+002    0.128375E+002
     y          299    0.104631E+002    0.116865E+002
     y          299    0.135345E+002    0.138054E+002
     y          146    0.133847E+002    0.133956E+002
     y          511    0.133171E+002    0.125265E+002
     y          303    0.118776E+002    0.119268E+002
     y          298    0.123014E+002    0.123575E+002
     y           10    0.120578E+002    0.116343E+002
     y          302    0.117361E+002    0.112862E+002
     y          298    0.121495E+002    0.125219E+002
     y          511    0.124684E+002    0.121850E+002
     y          297    0.127293E+002    0.125786E+002
     y          302    0.105321E+002    0.111710E+002
     y           28    0.114773E+002    0.110859E+002
     y          511    0.133439E+002    0.125758E+002
     y          303    0.125672E+002    0.123247E+002
     y          511    0.131323E+002    0.128877E+002
     y          302    0.122549E+002    0.118598E+002
     y          299    0.118130E+002    0.113845E+002
     y          299    0.127657E+002    0.125001E+002
     y          298    0.131519E+002    0.125340E+002
     y           72    0.128347E+002    0.130167E+002
     y          302    0.117981E+002    0.120011E+002
     y          299    0.123893E+002    0.124479E+002
     y          511    0.119184E+002    0.124858E+002
     y          511    0.110667E+002    0.122212E+002
     y          302    0.117361E+002    0.114034E+002
     y          303    0.120488E+002    0.122047E+002
     y          245    0.118671E+002    0.109512E+002
     y          299    0.116852E+002    0.115651E+002
     y          303    0.128104E+002    0.128987E+002
     y          247    0.113504E+002    0.115070E+002
     y          297    0.119829E+002    0.118032E+002
     y          299    0.123884E+002    0.117405E+002
     y          303    0.116396E+002    0.115415E+002
     y          303    0.123884E+002    0.115415E+002
     y          302    0.119512E+002    0.113972E+002
     y          298    0.132177E+002    0.134824E+002
     y          296    0.104913E+002    0.109523E+002
     y          146    0.144005E+002    0.140064E+002
     y          299    0.124111E+002    0.124593E+002
     y          511    0.961587E+001    0.124941E+002
     y          298    0.122011E+002    0.127703E+002
     y          299    0.106091E+002    0.119203E+002
     y          510    0.112898E+002    0.120509E+002
     y          511    0.127367E+002    0.125119E+002
     y          302    0.119382E+002    0.116693E+002
     y          511    0.119640E+002    0.120173E+002
     y          296    0.104631E+002    0.991572E+001
     y          511    0.133692E+002    0.134895E+002
     y          298    0.130815E+002    0.129348E+002
     y           10    0.120578E+002    0.116343E+002
     y          303    0.128854E+002    0.127911E+002
     y          245    0.116082E+002    0.118709E+002
     y           28    0.116082E+002    0.116443E+002
     y          302    0.126761E+002    0.126675E+002
     y          245    0.110588E+002    0.110015E+002
     y          298    0.131806E+002    0.126211E+002
     y          297    0.123014E+002    0.122301E+002
     y           28    0.114404E+002    0.115059E+002
     y          511    0.125638E+002    0.121066E+002
     y          297    0.128077E+002    0.125944E+002
     y          511    0.121281E+002    0.123500E+002
     y           28    0.110021E+002    0.114206E+002
     y          150    0.109682E+002    0.107672E+002
     y          247    0.124490E+002    0.119955E+002
     y          511    0.133770E+002    0.124008E+002
     y          303    0.131422E+002    0.134280E+002
     y          511    0.123239E+002    0.126952E+002
     y          302    0.123261E+002    0.122976E+002
     y          303    0.112606E+002    0.120784E+002
     y          297    0.121462E+002    0.122270E+002
     y          299    0.112516E+002    0.118964E+002
     y          511    0.129854E+002    0.122585E+002
     y           60    0.112516E+002    0.113705E+002
     y          510    0.120197E+002    0.123533E+002
     y           72    0.138971E+002    0.134710E+002
     y          510    0.114511E+002    0.116440E+002
     y          299    0.128492E+002    0.129633E+002
     y           29    0.955400E+001    0.997394E+001
     y          510    0.114404E+002    0.116947E+002
     y          303    0.105713E+002    0.113101E+002
     y          303    0.130711E+002    0.126991E+002
     y          302    0.121276E+002    0.123659E+002
     y          511    0.117753E+002    0.125080E+002
     y          297    0.125769E+002    0.121179E+002
     y          511    0.127654E+002    0.125418E+002
     y           27    0.123014E+002    0.120449E+002
     y          302    0.118130E+002    0.121968E+002
     y          247    0.119184E+002    0.118573E+002
     y           28    0.120582E+002    0.118862E+002
     y          511    0.129598E+002    0.126691E+002
     y           62    0.122923E+002    0.116762E+002
     y          511    0.125425E+002    0.121560E+002
     y          511    0.122061E+002    0.121677E+002
     y          511    0.118845E+002    0.122075E+002
     y          298    0.128992E+002    0.128118E+002
     y          511    0.119512E+002    0.120464E+002
     y          146    0.141697E+002    0.141202E+002
     y          511    0.113206E+002    0.124593E+002
     y          303    0.133212E+002    0.123015E+002
     y          302    0.127367E+002    0.128034E+002
     y          247    0.115617E+002    0.116189E+002
     y          511    0.117440E+002    0.122381E+002
     y           72    0.128213E+002    0.126181E+002
     y          299    0.128479E+002    0.129118E+002
     y          150    0.114616E+002    0.108158E+002
     y          150    0.114296E+002    0.112743E+002
     y          298    0.130281E+002    0.128895E+002
     y          302    0.108198E+002    0.114218E+002
     y          507    0.112461E+002    0.111886E+002
     y          510    0.115229E+002    0.116284E+002
     y          303    0.126603E+002    0.130915E+002
     y          245    0.110021E+002    0.109739E+002
     y          299    0.117415E+002    0.119232E+002
     y          150    0.111419E+002    0.109651E+002
     y          511    0.125759E+002    0.120389E+002
     y          244    0.123926E+002    0.126598E+002
     y          299    0.116082E+002    0.113232E+002
     y          299    0.117753E+002    0.117778E+002
     y          303    0.126115E+002    0.114680E+002
     y          511    0.124568E+002    0.124275E+002
     y          147    0.136048E+002    0.129192E+002
     y          252    0.123014E+002    0.124135E+002
     y          303    0.125773E+002    0.112465E+002
     y          302    0.126635E+002    0.124099E+002
     y          252    0.120436E+002    0.123307E+002
     y          297    0.133245E+002    0.125635E+002
     y          299    0.106454E+002    0.116678E+002
     y          303    0.129598E+002    0.128657E+002
     y          299    0.117118E+002    0.115210E+002
     y          511    0.126916E+002    0.135720E+002
     y          511    0.121782E+002    0.122651E+002
     y          303    0.120582E+002    0.116731E+002
     y          302    0.120436E+002    0.120455E+002
     y          302    0.121281E+002    0.124199E+002
     y          150    0.111563E+002    0.114360E+002
     y          511    0.122596E+002    0.119240E+002
     y          303    0.125425E+002    0.129763E+002
     y          254    0.119767E+002    0.125009E+002
     y          245    0.117440E+002    0.118812E+002
     y          245    0.117753E+002    0.116534E+002
     y          511    0.122371E+002    0.123839E+002
     y          299    0.121548E+002    0.122983E+002
     y          302    0.122784E+002    0.122034E+002
